# relation	reification	domain	range
# taken form UMR documentation https://umr4nlp.github.io/web/UMRSchemaPages/Roles-and-Reifications.html
:actor	have-actor-91	ARG1	ARG2
:co-actor	have-co-actor-91	ARG1	ARG2
:undergoer	have-undergoer-91	ARG1	ARG2
:theme	have-theme-91	ARG1	ARG2
:recipient	have-recipient-91	ARG1	ARG2
:force	have-force-91	ARG1	ARG2
:causer	have-causer-91	ARG1	ARG2
:experiencer	have-experience-91	ARG1	ARG2
# :stimulus
:instrument	have-instrument-91	ARG1	ARG2
:companion	have-companion-91	ARG1	ARG2
:material	have-material-91	ARG1	ARG2
:source	have-source-91	ARG1	ARG2
:place	have-place-91	ARG1	ARG2
:start	have-start-91	ARG1	ARG2
:goal	have-goal-91	ARG1	ARG2
:affectee	have-affectee-91	ARG1	ARG2
:cause	have-cause-91	ARG1	ARG2
:manner	have-manner-91	ARG1	ARG2
:reason	have-reason-91	ARG1	ARG2
:purpose	have-purpose-91	ARG1	ARG2
:result	have-result-91	ARG1	ARG2
:temporal	have-temporal-91	ARG1	ARG2
:extent	have-extent-91	ARG1	ARG2
:other-role	have-other-role-91	ARG1	ARG2
:direction	have-direction-91	ARG1	ARG2
:path	have-path-91	ARG1	ARG2
:quant	have-quant-91	ARG1	ARG2
:duration	have-duration-91	ARG1	ARG2
:frequency	have-frequency-91	ARG1	ARG2
:mod	have-mod-91	ARG1	ARG2
:topic	have-topic-91	ARG1	ARG2
:vocative	have-vocative-91	ARG1	ARG2
:medium	have-medium-91	ARG1	ARG2
:possessor	have-poss-91	ARG1	ARG2
:part	have-part-91	ARG1	ARG2
:group	have-group-91	ARG1	ARG2
:age	have-age-91	ARG1	ARG2
:example	have-example-91	ARG1	ARG2
:ord	have-ord-91	ARG1	ARG2
:list-item	have-list-item-91	ARG1	ARG2
:size	have-size-91	ARG1	ARG2
:color	have-color-91	ARG1	ARG2
:configuration	have-configuration-91	ARG1	ARG2
:orientation	have-orientation-91	ARG1	ARG2
:anchor	have-anchor-91	ARG1	ARG2
:axis	have-axis-91	ARG1	ARG2

:polite	be-polite-91	ARG1	ARG2
:polarity	have-polarity-91	ARG1	ARG2
:degree	have-degree-91	ARG1	ARG2
